Date,Port,ticker,shares,price
1/27/2026,US_live_port,A,-847,135.95
1/27/2026,US_live_port,AA,4098,59.66
1/27/2026,US_live_port,AAL,7948,13.55
1/27/2026,US_live_port,AAMI,233,55.57
1/27/2026,US_live_port,AAOI,-2851,37.39
1/27/2026,US_live_port,AAON,-189,91.86
1/27/2026,US_live_port,AAP,-575,49.34
1/27/2026,US_live_port,AAPL,-879,258.27
1/27/2026,US_live_port,AAT,913,18.05
1/27/2026,US_live_port,ABBV,2181,223.93
1/27/2026,US_live_port,ABCB,-1545,80.21
1/27/2026,US_live_port,ABEO,9629,5.11
1/27/2026,US_live_port,ABG,111,241.15
1/27/2026,US_live_port,ABM,4412,45.39
1/27/2026,US_live_port,ABNB,-5259,132.22
1/27/2026,US_live_port,ABR,27572,7.77
1/27/2026,US_live_port,ABT,1520,108.27
1/27/2026,US_live_port,ABUS,-45163,4.16
1/27/2026,US_live_port,ACA,450,114.42
1/27/2026,US_live_port,ACAD,-2465,26.2
1/27/2026,US_live_port,ACGL,-1328,93.46
1/27/2026,US_live_port,ACHC,-163,13.48
1/27/2026,US_live_port,ACHR,-2703,8.09
1/27/2026,US_live_port,ACI,-299,16.66
1/27/2026,US_live_port,ACIC,224,10.85
1/27/2026,US_live_port,ACIW,1515,44.7
1/27/2026,US_live_port,ACLS,-24,91.04
1/27/2026,US_live_port,ACLX,3584,68.51
1/27/2026,US_live_port,ACM,1275,96.84
1/27/2026,US_live_port,ACMR,31,53.95
1/27/2026,US_live_port,ACN,-657,275.8
1/27/2026,US_live_port,ACT,1401,39.28
1/27/2026,US_live_port,ACVA,27636,8.35
1/27/2026,US_live_port,AD,2702,46.93
1/27/2026,US_live_port,ADAM,-11112,8.41
1/27/2026,US_live_port,ADBE,1476,297.42
1/27/2026,US_live_port,ADC,-5611,72.78
1/27/2026,US_live_port,ADEA,1015,18.42
1/27/2026,US_live_port,ADI,722,303.83
1/27/2026,US_live_port,ADM,-2227,68.23
1/27/2026,US_live_port,ADMA,5089,16.58
1/27/2026,US_live_port,ADNT,-3451,22.23
1/27/2026,US_live_port,ADP,1968,254.51
1/27/2026,US_live_port,ADSK,-2007,268.09
1/27/2026,US_live_port,ADT,-26892,7.97
1/27/2026,US_live_port,ADTN,19523,9.58
1/27/2026,US_live_port,ADUS,-172,107.01
1/27/2026,US_live_port,AEE,4301,103.96
1/27/2026,US_live_port,AEIS,856,259.55
1/27/2026,US_live_port,AEO,497,23.44
1/27/2026,US_live_port,AEP,716,119.43
1/27/2026,US_live_port,AER,1887,143.86
1/27/2026,US_live_port,AES,-8943,14.92
1/27/2026,US_live_port,AFG,2894,127.85
1/27/2026,US_live_port,AFL,-2907,108.38
1/27/2026,US_live_port,AFRM,-1838,68.79
1/27/2026,US_live_port,AGCO,-2440,113.69
1/27/2026,US_live_port,AGIO,3171,28.67
1/27/2026,US_live_port,AGM,39,172.89
1/27/2026,US_live_port,AGNC,-29823,12.17
1/27/2026,US_live_port,AGO,401,83.02
1/27/2026,US_live_port,AGX,227,362.58
1/27/2026,US_live_port,AGYS,-119,90.86
1/27/2026,US_live_port,AI,-391,12.6
1/27/2026,US_live_port,AIG,480,73.87
1/27/2026,US_live_port,AIN,-389,56.57
1/27/2026,US_live_port,AIR,1816,105.47
1/27/2026,US_live_port,AIT,239,262.34
1/27/2026,US_live_port,AIV,74820,5.85
1/27/2026,US_live_port,AIZ,-863,237.05
1/27/2026,US_live_port,AJG,1255,242.33
1/27/2026,US_live_port,AKAM,-687,103.26
1/27/2026,US_live_port,AKBA,77398,1.51
1/27/2026,US_live_port,AKR,-849,19.7
1/27/2026,US_live_port,ALB,2049,194.18
1/27/2026,US_live_port,ALDX,-1214,5.54
1/27/2026,US_live_port,ALG,-18,193.33
1/27/2026,US_live_port,ALGM,2676,32.66
1/27/2026,US_live_port,ALGN,-3306,167.04
1/27/2026,US_live_port,ALGT,32,85.35
1/27/2026,US_live_port,ALHC,66,20.96
1/27/2026,US_live_port,ALK,40,51.8
1/27/2026,US_live_port,ALKS,-449,33.52
1/27/2026,US_live_port,ALKT,-412,21.1
1/27/2026,US_live_port,ALL,-583,194.77
1/27/2026,US_live_port,ALLE,-840,166.89
1/27/2026,US_live_port,ALLY,96,42.89
1/27/2026,US_live_port,ALNT,1950,60.83
1/27/2026,US_live_port,ALNY,1469,354.75
1/27/2026,US_live_port,ALRM,-2750,49.07
1/27/2026,US_live_port,ALSN,1844,110.95
1/27/2026,US_live_port,ALV,3912,128.14
1/27/2026,US_live_port,ALX,-51,239.55
1/27/2026,US_live_port,AMAL,9030,38.15
1/27/2026,US_live_port,AMAT,856,332.71
1/27/2026,US_live_port,AMBA,-3132,66.35
1/27/2026,US_live_port,AMBP,-5880,4.44
1/27/2026,US_live_port,AMC,70903,1.45
1/27/2026,US_live_port,AMCR,-2993,44.72
1/27/2026,US_live_port,AMCX,5289,7.77
1/27/2026,US_live_port,AMD,-29,252.03
1/27/2026,US_live_port,AME,603,220.56
1/27/2026,US_live_port,AMG,446,307.56
1/27/2026,US_live_port,AMGN,608,351.32
1/27/2026,US_live_port,AMH,1643,31.53
1/27/2026,US_live_port,AMKR,-9620,50.74
1/27/2026,US_live_port,AMN,-1417,20.88
1/27/2026,US_live_port,AMP,1381,498.33
1/27/2026,US_live_port,AMPH,-44,26.25
1/27/2026,US_live_port,AMPL,-6741,10.03
1/27/2026,US_live_port,AMR,-185,221.33
1/27/2026,US_live_port,AMRC,-7959,33.02
1/27/2026,US_live_port,AMRX,-24470,13.83
1/27/2026,US_live_port,AMSF,923,36.73
1/27/2026,US_live_port,AMT,283,180.07
1/27/2026,US_live_port,AMZN,-677,244.68
