11:57 AM,Port,ticker,shares,price
2/2/2026,US_live_port,FISV,-2157,62.94
2/2/2026,US_live_port,UPBD,4300,19.77
2/2/2026,US_live_port,BOKF,2179,130.3
2/2/2026,US_live_port,EQH,15242,46.75
2/2/2026,US_live_port,TRGP,361,198.67
2/2/2026,US_live_port,NLY,-25661,22.54
2/2/2026,US_live_port,AGYS,-73,89.25
2/2/2026,US_live_port,UNP,-683,235.23
2/2/2026,US_live_port,COR,-240,363.56
2/2/2026,US_live_port,TALO,1869,11.62
2/2/2026,US_live_port,BBWI,-38,22.24
2/2/2026,US_live_port,MATW,-278,26.65
2/2/2026,US_live_port,NXST,-1834,209.13
2/2/2026,US_live_port,REGN,497,755.02
2/2/2026,US_live_port,TCBI,-1463,102.48
2/2/2026,US_live_port,PARR,13,37.73
2/2/2026,US_live_port,ERIE,-373,281.93
2/2/2026,US_live_port,NEXA,35,12.66
2/2/2026,US_live_port,CTMX,-20021,6.09
2/2/2026,US_live_port,SCHW,4463,105.17
2/2/2026,US_live_port,MSTR,-1576,139.63
2/2/2026,US_live_port,AOS,-5238,74.71
2/2/2026,US_live_port,RAMP,484,24.51
2/2/2026,US_live_port,SIG,-58,94.76
2/2/2026,US_live_port,ANGO,-2210,10.42
2/2/2026,US_live_port,RL,649,356.54
2/2/2026,US_live_port,MOD,-1424,196.07
2/2/2026,US_live_port,WK,586,76.54
2/2/2026,US_live_port,ATEX,-15,27.45
2/2/2026,US_live_port,DCO,528,115.02
2/2/2026,US_live_port,VCYT,1789,38.16
2/2/2026,US_live_port,OMF,4844,65.36
2/2/2026,US_live_port,ETSY,965,53.61
2/2/2026,US_live_port,JJSF,-978,95.2
2/2/2026,US_live_port,EBS,-6940,11.71
2/2/2026,US_live_port,MP,-412,59.11
2/2/2026,US_live_port,PRMB,-5799,18.85
2/2/2026,US_live_port,CPB,-459,27.53
2/2/2026,US_live_port,MXL,12652,17.64
2/2/2026,US_live_port,EBC,-865,21.2
2/2/2026,US_live_port,BH/A,-182,1995.99
2/2/2026,US_live_port,PRAA,-20026,12.87
2/2/2026,US_live_port,EL,1412,118.76
2/2/2026,US_live_port,SENEA,356,121.63
2/2/2026,US_live_port,WPC,-8695,68.37
2/2/2026,US_live_port,GLNG,2492,41.21
2/2/2026,US_live_port,CFR,927,139.06
2/2/2026,US_live_port,SCSC,-26,44.19
2/2/2026,US_live_port,THR,-21,47.12
2/2/2026,US_live_port,RITM,-9483,10.8
2/2/2026,US_live_port,ACIW,3630,43.45
2/2/2026,US_live_port,VITL,-43,27.44
2/2/2026,US_live_port,META,-111,706.41
2/2/2026,US_live_port,RXO,-6429,15.49
2/2/2026,US_live_port,ACHC,-1667,13.21
2/2/2026,US_live_port,SEI,-15,56.83
2/2/2026,US_live_port,TPH,3367,33.57
2/2/2026,US_live_port,NE,-865,36
2/2/2026,US_live_port,AGIO,543,28.16
2/2/2026,US_live_port,SABR,105190,1.33
2/2/2026,US_live_port,PINS,-1761,22
2/2/2026,US_live_port,AVNS,-2507,13.47
2/2/2026,US_live_port,BLMN,6937,5.97
2/2/2026,US_live_port,NOVT,566,134.32
2/2/2026,US_live_port,EEFT,2759,72.28
2/2/2026,US_live_port,LZB,-24,37.24
2/2/2026,US_live_port,TPL,-892,336.68
2/2/2026,US_live_port,MCS,44,15.48
2/2/2026,US_live_port,LVS,1048,55.64
2/2/2026,US_live_port,JAZZ,1024,167.29
2/2/2026,US_live_port,WBS,430,66
2/2/2026,US_live_port,OVV,-8306,42.48
2/2/2026,US_live_port,HFWA,-12584,26.45
2/2/2026,US_live_port,LGND,218,197.93
2/2/2026,US_live_port,INSM,-1228,153.98
2/2/2026,US_live_port,PRU,1047,111.72
2/2/2026,US_live_port,PLPC,-2,260.07
2/2/2026,US_live_port,MO,3758,62.23
2/2/2026,US_live_port,BLFS,-45,22.33
2/2/2026,US_live_port,NX,4451,19.01
2/2/2026,US_live_port,NFLX,-3572,82.76
2/2/2026,US_live_port,LMT,-202,636
2/2/2026,US_live_port,MUSA,353,427.58
2/2/2026,US_live_port,PCRX,307,21.22
2/2/2026,US_live_port,WGS,-2267,99.01
2/2/2026,US_live_port,GPC,1911,141.26
2/2/2026,US_live_port,SMTC,-2271,87.76
2/2/2026,US_live_port,FMBH,-7885,43.58
2/2/2026,US_live_port,KBR,1645,42.52
2/2/2026,US_live_port,RSI,-11998,17.89
2/2/2026,US_live_port,GOGO,-23337,4.45
2/2/2026,US_live_port,HUBS,1403,274.06
2/2/2026,US_live_port,A,-64,135.39
2/2/2026,US_live_port,ACGL,3664,96.71
2/2/2026,US_live_port,UNIT,14455,8.1
2/2/2026,US_live_port,FIS,7921,56.08
2/2/2026,US_live_port,KOS,-184414,1.36
2/2/2026,US_live_port,VLY,-3454,12.62
2/2/2026,US_live_port,FHN,21787,24.82
2/2/2026,US_live_port,OMER,-764,11.72
2/2/2026,US_live_port,TBBK,2819,62.765
2/2/2026,US_live_port,TMHC,39,61.64
2/2/2026,US_live_port,FG,6550,29.78
2/2/2026,US_live_port,APEI,-2261,42.3
2/2/2026,US_live_port,NOV,-5509,18.38
2/2/2026,US_live_port,PCOR,1465,56.6
2/2/2026,US_live_port,CCOI,3818,24.71
2/2/2026,US_live_port,OSIS,318,252.72
2/2/2026,US_live_port,MCO,-533,517.05
2/2/2026,US_live_port,EPRT,7633,30.12
2/2/2026,US_live_port,CACC,912,511.43
2/2/2026,US_live_port,LYV,-186,143.94
2/2/2026,US_live_port,CLH,-2763,261.38
2/2/2026,US_live_port,SB,283,5.87
2/2/2026,US_live_port,GSIT,13037,7.23
2/2/2026,US_live_port,MTUS,-395,20.59
2/2/2026,US_live_port,BKR,-140,56.45
2/2/2026,US_live_port,UPS,534,110.27
2/2/2026,US_live_port,WDFC,-379,232.13
2/2/2026,US_live_port,AVPT,7655,11.7
2/2/2026,US_live_port,SNAP,21724,6.66
2/2/2026,US_live_port,QCOM,941,152.62
2/2/2026,US_live_port,ROST,-1023,190.11
2/2/2026,US_live_port,PNR,-2993,105.51
2/2/2026,US_live_port,LOB,-51,41.15
2/2/2026,US_live_port,LFST,5000,7.18
2/2/2026,US_live_port,WEC,-772,109.84
2/2/2026,US_live_port,ALB,3218,164.93
2/2/2026,US_live_port,PNFP,3951,98.13
2/2/2026,US_live_port,GCMG,23876,11.41
2/2/2026,US_live_port,CALY,9547,14.33
