ticker,shares,price,position_market_value,average_daily_volume,average_daily_dollar_volume,position_shares_pct_adv,position_value_pct_dollar_adv
A,-1087,133.8699951171875,-145516.6846923828,1967690.0,278156299.1859436,0.0005524244164477128,0.000523147184220721
AA,4157,60.0099983215332,249461.56302261353,8795115.0,543140206.0286903,0.00047264873739570205,0.0004592949670336801
AAL,-17480,13.4399995803833,-234931.1926651001,57899540.0,881165101.3194418,0.00030190222582079235,0.000266614272754695
AAMI,111,55.290000915527344,6137.190101623535,205230.0,10744379.982261658,0.0005408565999122935,0.0005712000238036701
AAOI,1655,45.22999954223633,74855.64924240112,4573000.0,170800024.6585846,0.0003619068445221955,0.0004382648620340161
AAON,-363,91.22000122070312,-33112.860443115234,1028950.0,88180874.81830597,0.0003527868215170805,0.00037551068200835253
AAP,-1670,49.59000015258789,-82815.30025482178,1996885.0,86265572.41121292,0.0008363025412079314,0.0009600040658173077
AAPL,411,256.44000244140625,105396.84100341797,46487705.0,11981731389.181747,8.84104732638447e-06,8.796461678199556e-06
AAT,-3231,17.760000228881836,-57382.56073951721,466015.0,8533713.584899902,0.0069332532214628284,0.006724219200542842
ABBV,2867,218.6699981689453,626926.8847503662,6857580.0,1516646457.8369904,0.0004180775142251348,0.00041336389341816435
ABCB,-1974,79.68000030517578,-157288.320602417,476020.0,37602094.235954285,0.0041468845846813155,0.0041829670341079405
ABEO,4196,4.829999923706055,20266.679679870605,1259150.0,6539308.10356617,0.003332406782353175,0.0030992085644073416
ABG,1087,243.88999938964844,265108.42933654785,158360.0,38615916.57142639,0.006864107097751958,0.006865263157646067
ABM,3719,44.790000915527344,166574.0134048462,695865.0,30984768.79442215,0.005344427439230311,0.005375996655325461
ABNB,-5282,131.5500030517578,-694847.1161193848,3900925.0,525182421.66038513,0.0013540378243621705,0.0013230585934742407
ABR,26301,7.739999771118164,203569.73398017883,3683250.0,29098833.162620068,0.007140704540826715,0.006995804018756378
ABT,2857,106.05000305175781,302984.85871887207,10695275.0,1238833965.3771973,0.0002671273062169977,0.00024457261197760263
ABUS,964,4.139999866485596,3990.9598712921143,1588000.0,6986321.829929352,0.0006070528967254408,0.0005712533674293204
ACA,489,113.05000305175781,55281.45149230957,204830.0,22919118.094673157,0.0023873456036713372,0.0024120235021241085
ACAD,130,25.6200008392334,3330.600109100342,1242450.0,33077888.445711136,0.0001046319771419373,0.00010068962275408441
ACGL,-2500,94.16999816894531,-235424.99542236328,2236790.0,207597281.7642212,0.0011176730940320727,0.0011340466186341854
ACHC,-92,13.4399995803833,-1236.4799613952637,3599100.0,49886916.05478287,2.556194604206607e-05,2.4785656424170104e-05
ACHR,-371,7.730000019073486,-2867.8300070762634,43927475.0,375349668.9996052,8.445739255443205e-06,7.640422368613518e-06
ACI,-1089,16.690000534057617,-18175.410581588745,10032770.0,170109783.28710556,0.00010854430032782572,0.00010684518097887938
ACIC,132,10.8100004196167,1426.9200553894043,182180.0,2065235.9557962418,0.0007245581293226479,0.0006909235002347527
ACIW,2559,43.5,111316.5,610155.0,27465355.46497345,0.0041940162745531875,0.004052978674969704
ACLS,-21,91.2300033569336,-1915.8300704956055,526275.0,48333404.04155731,3.990309248966795e-05,3.96378055402091e-05
ACLX,5033,,,,,,
ACM,668,97.48999786376953,65123.31857299805,1281940.0,125452331.41056061,0.0005210852301979811,0.0005191080774726515
ACMR,-3115,55.790000915527344,-173785.85285186768,1497115.0,74199422.83813477,0.0020806684857208697,0.002342145615215628
ACN,-1104,270.42999267578125,-298554.7119140625,4061770.0,1129373098.9945984,0.0002718026870059112,0.00026435436808247407
ACT,1026,39.310001373291016,40332.06140899658,266750.0,10493219.984474182,0.003846298031865042,0.0038436305984885567
ACVA,31108,8.039999961853027,250108.31881332397,2185685.0,18676023.86118412,0.014232608999009464,0.013391946844378593
AD,-1251,46.59000015258789,-58284.09019088745,354965.0,19000540.848445892,0.0035242911272942404,0.003067496375802096
ADAM,-12371,8.4399995803833,-104411.23480892181,671290.0,5343504.169738293,0.01842869698639932,0.019539843423390747
ADBE,1294,299.5799865722656,387656.5026245117,4585380.0,1432110870.1875305,0.0002822012570386751,0.0002706888905701479
ADC,-3471,71.08000183105469,-246718.68635559082,1391615.0,99857376.00242615,0.002494224336472372,0.002470710689910343
ADEA,2739,18.3700008392334,50315.43229866028,793136.1,14812847.835140038,0.0034533795649952133,0.0033967426695154872
ADI,148,317.6300048828125,47009.24072265625,3427165.0,1017488431.3789368,4.318438125972925e-05,4.620125327513321e-05
ADM,75,67.4000015258789,5055.000114440918,3446370.0,219786982.86750793,2.17620278728053e-05,2.2999542777691138e-05
ADMA,1703,16.329999923706055,27809.98987007141,2323015.0,41076839.70001221,0.000733099011414046,0.0006770235995069296
ADNT,-3876,21.59000015258789,-83682.84059143066,1301680.0,27700035.647029877,0.0029776903693688158,0.003021037288823977
ADP,1094,250.69000244140625,274254.86267089844,2136270.0,551116875.4671478,0.0005121075519480215,0.0004976346667636143
ADSK,-2227,268.3299865722656,-597570.8800964355,1820745.0,494437883.8935852,0.0012231256985464742,0.0012085863554602686
ADT,-12949,7.949999809265137,-102944.54753017426,5075935.0,41269672.87247658,0.0025510570958847977,0.002494435753059474
ADTN,21943,9.600000381469727,210652.8083705902,1216395.0,11198957.880949974,0.01803937043476831,0.018810036666797533
ADUS,-247,102.4800033569336,-25312.560829162598,183555.0,19956487.961349487,0.0013456457192667047,0.0012683875478584421
AEE,3816,103.58000183105469,395261.2869873047,1411885.0,143650247.7167511,0.0027027697014983514,0.0027515531178663824
AEIS,702,263.760009765625,185159.52685546875,534275.0,131030062.57461548,0.001313930092180993,0.001413107215376846
AEO,1862,23.1299991607666,43068.05843734741,6163230.0,159164208.27649117,0.0003021143134362988,0.0002705888396877016
AEP,613,119.12000274658203,73020.56168365479,3317340.0,388600275.6259918,0.0001847866061362417,0.00018790661320563086
AER,3087,142.63999938964844,440329.6781158447,936245.0,135238313.8546753,0.003297213870301043,0.0032559536241261867
AES,-3778,15.1899995803833,-57387.81841468811,8800945.0,126699082.1697092,0.00042927208385008656,0.0004529458101189639
AFG,2241,128.4499969482422,287856.44316101074,444160.0,58358616.83364868,0.005045479106628242,0.004932543963157077
