ticker,shares,price,position_market_value,average_daily_volume,average_daily_dollar_volume,position_shares_pct_adv,position_pct_of_daily_market_volume,position_value_pct_dollar_adv,liquidation_participation_rate,estimated_days_to_liquidate,estimated_full_trading_days
A,-1217,133.27,-162189.59000000003,1942560.95,274280957.4505,0.0006264925689976421,0.06264925689976421,0.0005913264686968678,0.1,0.00626492568997642,1
AA,4379,60.64,265542.56,9023695.3,558083446.2720001,0.0004852779104808647,0.048527791048086466,0.00047581156863516643,0.1,0.004852779104808647,1
AAL,-16345,13.51,-220820.94999999998,59262337.2,895669407.0279999,0.00027580754948692773,0.027580754948692773,0.0002465429189244339,0.1,0.002758075494869277,1
AAMI,53,55.13,2921.8900000000003,211149.2,11116218.702500002,0.00025100734456962184,0.025100734456962183,0.0002628492725986829,0.1,0.002510073445696218,1
AAOI,2064,39.57,81672.48,4885979.4,183595086.06524998,0.0004224332177904802,0.04224332177904802,0.00044485112183761537,0.1,0.004224332177904802,1
AAON,-307,93.31,-28646.170000000002,1013507.25,87750131.01650001,0.00030290853864143544,0.030290853864143544,0.00032645159235846096,0.1,0.0030290853864143544,1
AAP,-1301,48.12,-62604.119999999995,1963745.85,85589115.65100001,0.0006625093567988953,0.06625093567988953,0.0007314495485065634,0.1,0.006625093567988952,1
AAPL,-242,258.28,-62503.759999999995,48743375.1,12547942684.307997,4.964777254417083e-06,0.0004964777254417083,4.981195847998647e-06,0.1,4.964777254417082e-05,1
AAT,-2811,18.01,-50626.11000000001,472676.55,8637871.087500002,0.005946984253820081,0.5946984253820081,0.005860947620908796,0.1,0.059469842538200805,1
ABBV,2749,220.43,605962.0700000001,7131939.2,1576030582.5765004,0.0003854491636720627,0.03854491636720627,0.000384486238210791,0.1,0.003854491636720627,1
ABCB,-2506,81.3,-203737.8,487917.4,38701417.33,0.005136115252294753,0.5136115252294753,0.005264349836667855,0.1,0.051361152522947526,1
ABEO,5653,5.08,28717.24,1304639.4,6766797.6165000005,0.004332998068278484,0.43329980682784835,0.0042438449658929595,0.1,0.04332998068278483,1
ABG,649,237.2,153942.8,161856.2,39450099.1115,0.00400973209552677,0.400973209552677,0.0039022157983660045,0.1,0.0400973209552677,1
ABM,3330,45.77,152414.1,703273.05,31409360.97749999,0.00473500299776879,0.47350029977687896,0.004852505598862117,0.1,0.0473500299776879,1
ABNB,-4759,131.77,-627093.43,3993318.1,536739102.682,0.001191740773168058,0.1191740773168058,0.001168339379163012,0.1,0.011917407731680579,1
ABR,34669,7.88,273191.72,3660297.05,28939332.6445,0.009471635642249308,0.9471635642249309,0.009440152727637997,0.1,0.09471635642249308,1
ABT,4968,106.09,527055.12,11216137.45,1288903352.4155,0.00044293323099388375,0.044293323099388375,0.0004089174871120165,0.1,0.004429332309938837,1
ABUS,1707,4.13,7049.91,1574755.55,6907955.483749999,0.0010839777640409014,0.10839777640409014,0.0010205494254535846,0.1,0.010839777640409012,1
ACA,406,114.64,46543.840000000004,208072.05,23330540.178000003,0.001951247176158451,0.1951247176158451,0.0019949748117658005,0.1,0.01951247176158451,1
ACAD,126,25.7,3238.2,1242833.15,33035367.539500006,0.00010138126746941052,0.010138126746941051,9.80222180403509e-05,0.1,0.001013812674694105,1
ACGL,-1586,95.72,-151811.91999999998,2278828.55,211568200.3515,0.0006959716210330962,0.06959716210330963,0.000717555472645602,0.1,0.006959716210330962,1
ACHC,-564,13.05,-7360.200000000001,3653999.6,50438653.91500001,0.00015435141262741244,0.015435141262741243,0.00014592379908479563,0.1,0.0015435141262741244,1
ACHR,-97,7.43,-720.7099999999999,44973195.8,383011943.5490001,2.156840275068911e-06,0.0002156840275068911,1.8816906682383834e-06,0.1,2.156840275068911e-05,1
ACI,-1776,16.59,-29463.84,10099563.95,171011963.14900002,0.00017584917614190662,0.017584917614190662,0.00017229110442015463,0.1,0.001758491761419066,1
ACIC,568,10.97,6230.96,185713.3,2092303.3825000003,0.003058477771920482,0.3058477771920482,0.0029780384872077695,0.1,0.030584777719204818,1
ACIW,4968,43.2,214617.6,639629.15,28656656.030499995,0.00776700061277695,0.7767000612776951,0.007489275781918768,0.1,0.0776700061277695,1
ACLS,-18,92.2,-1659.6000000000001,544953.4,50142385.514249995,3.303034718197923e-05,0.0033030347181979233,3.3097747204874354e-05,0.1,0.0003303034718197923,1
