ticker,shares,price,position_market_value,average_daily_volume,average_daily_dollar_volume,position_shares_pct_adv,position_pct_of_daily_market_volume,position_value_pct_dollar_adv,liquidation_participation_rate,estimated_days_to_liquidate,estimated_full_trading_days
AA,5869,56.81,333417.89,9199126.8,569091794.7265,0.0006379953366878255,0.06379953366878255,0.0005858771697107976,0.1,0.006379953366878255,1
AAOI,2193,43.61,95636.73,5348821.15,204980183.47024998,0.0004099968831449898,0.04099968831449898,0.0004665657351891303,0.1,0.0040999688314498975,1
AAPL,296,259.48,76806.08,52000863.55,13376301024.772999,5.6922131632562096e-06,0.0005692213163256209,5.741952117984982e-06,0.1,5.692213163256209e-05,1
AAT,116,18.06,2094.96,489140.35,8923433.344500002,0.00023715074824638777,0.023715074824638777,0.00023477062237386892,0.1,0.0023715074824638776,1
ABBV,1624,223.01,362168.24,7303194.25,1613346152.999,0.00022236845199619332,0.022236845199619333,0.00022448266252519738,0.1,0.002223684519961933,1
ABEO,13033,5.09,66337.97,1292221.15,6695297.014999999,0.010085734937862611,1.0085734937862612,0.009908144455933448,0.1,0.1008573493786261,1
ABG,775,234.51,181745.25,163177.25,39776283.344,0.00474943657893487,0.47494365789348697,0.004569186327143739,0.1,0.047494365789348694,1
ABM,4435,46.04,204187.4,708393.25,31756434.224499993,0.006260646893515714,0.6260646893515713,0.0064297961967804945,0.1,0.06260646893515713,1
ABT,5663,109.3,618965.9,11934846.1,1364933983.2875,0.0004744929220327357,0.04744929220327357,0.00045347680369800384,0.1,0.004744929220327357,1
ABUS,5634,4.13,23268.42,1465570.95,6352651.211750001,0.0038442355861379486,0.38442355861379485,0.0036627888458541885,0.1,0.038442355861379486,1
ACA,306,114.47,35027.82,216276.3,24329936.478000004,0.0014148568289729388,0.14148568289729388,0.001439700429619839,0.1,0.014148568289729388,1
ACAD,61,25.13,1532.9299999999998,1264926.95,33529883.661500007,4.822412867399181e-05,0.004822412867399181,4.571832146737076e-05,0.1,0.00048224128673991806,1
ACIC,707,11.05,7812.35,190988.45,2134839.4520000005,0.003701794532601317,0.3701794532601317,0.0036594555120672365,0.1,0.037017945326013164,1
ACIW,3354,43.36,145429.44,672953.5,29996101.248999994,0.004983999637419227,0.4983999637419227,0.004848278074299683,0.1,0.049839996374192265,1
ACLX,3550,68.31,242500.5,947940.5,63922383.029999994,0.003744960786040896,0.37449607860408957,0.0037936711446785376,0.1,0.037449607860408955,1
ACM,1267,96.43,122176.81000000001,1320378.65,129243982.979,0.0009595732254531684,0.09595732254531684,0.0009453191335015705,0.1,0.009595732254531683,1
ACMR,3,58.12,174.35999999999999,1537498.1,78905252.8445,1.9512219234612387e-06,0.00019512219234612388,2.2097388160407313e-06,0.1,1.9512219234612386e-05,1
ACVA,23224,7.81,181379.44,2210322.45,18836409.3595,0.010507064252095888,1.0507064252095888,0.009629194000741054,0.1,0.10507064252095887,1
AD,1321,48.19,63658.99,364281.05,19363644.420500003,0.0036263209409328322,0.36263209409328323,0.0032875521062866227,0.1,0.03626320940932832,1
ADEA,697,18.09,12608.73,814879.15,15252714.572749998,0.0008553415558613814,0.08553415558613814,0.000826654818711834,0.1,0.008553415558613813,1
ADI,826,310.88,256786.88,3650185.7,1093918170.0555,0.00022628985697905726,0.022628985697905727,0.00023474048336446582,0.1,0.0022628985697905725,1
ADM,1495,67.31,100628.45,3816080.9,246264614.9025,0.00039176318300799124,0.03917631830079912,0.00040861920028519065,0.1,0.003917631830079912,1
ADMA,1553,17.3,26866.9,2373702.65,41737429.6975,0.0006542521237864398,0.06542521237864397,0.0006437123750725188,0.1,0.006542521237864397,1
ADP,762,246.82,188076.84,2353252.85,602968463.06025,0.00032380710810570143,0.032380710810570146,0.00031191820388988886,0.1,0.0032380710810570143,1
ADT,346,8.0,2768.0,5534700.8,44952950.8595,6.251467107309577e-05,0.006251467107309576,6.157549053123022e-05,0.1,0.0006251467107309576,1
ADTN,24472,9.22,225631.84000000003,1158058.6,10753695.024500001,0.02113191854021895,2.113191854021895,0.02098179644168316,0.1,0.21131918540218947,1
AEE,3663,103.28,378314.64,1462639.0,149223217.0075,0.0025043773617413456,0.25043773617413456,0.002535226405023729,0.1,0.025043773617413456,1
AEIS,607,255.36,155003.52000000002,875029.75,219588036.2875,0.0006936907002304778,0.06936907002304778,0.0007058832649564687,0.1,0.006936907002304778,1
AEO,1216,23.31,28344.96,6252707.1,159970861.1125,0.00019447576554481498,0.019447576554481497,0.00017718826918151247,0.1,0.0019447576554481498,1
AEP,760,119.775,91029.0,3249590.5,382054584.40775,0.00023387562217454784,0.023387562217454784,0.00023826176602777984,0.1,0.0023387562217454783,1
AER,1994,143.66,286458.04,995914.1,143833239.0605,0.0020021807101636576,0.20021807101636577,0.001991598338959107,0.1,0.020021807101636573,1
AFG,1028,130.27,133917.56,537206.65,70225992.542,0.0019136025214877737,0.19136025214877736,0.0019069514741270198,0.1,0.019136025214877735,1
AFL,715,110.95,79329.25,2261493.4,247902416.32850003,0.00031616276218183965,0.03161627621818396,0.00032000192323611466,0.1,0.0031616276218183964,1
AFRM,235,60.3,14170.5,5513456.6,401482994.525,4.2622988997501136e-05,0.004262298899750113,3.529539281424687e-05,0.1,0.00042622988997501136,1
AGIO,337,27.44,9247.28,953191.0,26664302.84,0.0003535492886525366,0.03535492886525366,0.0003468037418974949,0.1,0.0035354928865253656,1
AGM,81,169.3,13713.300000000001,112733.3,19459379.4715,0.0007185099699911206,0.07185099699911206,0.0007047141467221168,0.1,0.007185099699911206,1
AGX,223,347.11,77405.53,360808.05,126601994.17300001,0.0006180571636359001,0.06180571636359001,0.0006114084577074381,0.1,0.006180571636359,1
AHH,1816,,,,,,,,0.1,,
AIR,1501,105.91,158970.91,665680.6,64844598.6655,0.002254835126635807,0.22548351266358072,0.002451567490147473,0.1,0.02254835126635807,1
AIT,234,260.41,60935.94,359930.95,97499747.93499999,0.0006501246975287899,0.06501246975287898,0.0006249856157640949,0.1,0.006501246975287899,1
AIV,90075,5.88,529641.0,1761340.7,10379699.428,0.05114002078076093,5.114002078076093,0.05102662207840572,0.1,0.5114002078076093,1
AJG,801,249.37,199745.37,2053865.15,522009643.4245001,0.00038999639289853086,0.03899963928985309,0.000382646896501041,0.1,0.0038999639289853086,1
ALB,2608,170.63,445003.04,3767721.55,646158722.3269999,0.0006921955259671459,0.06921955259671458,0.0006886899837820319,0.1,0.006921955259671458,1
ALDX,15002,5.36,80410.72,875589.45,4119488.4965000013,0.017133600684658776,1.7133600684658776,0.01951958843150516,0.1,0.17133600684658776,1
ALG,935,195.31,182614.85,109371.2,20585191.4275,0.008548868440686396,0.8548868440686397,0.008871175701385157,0.1,0.08548868440686395,1
ALGT,234,88.63,20739.42,534819.3,47674468.949499995,0.00043753095671753055,0.043753095671753055,0.00043502152109903074,0.1,0.004375309567175305,1
ALHC,1319,22.53,29717.07,3114995.95,68294797.16075,0.0004234355425084902,0.04234355425084902,0.0004351293397951378,0.1,0.004234355425084902,1
ALK,972,50.83,49406.759999999995,3967589.6,199368086.5015,0.00024498501558729765,0.024498501558729766,0.0002478167938860579,0.1,0.0024498501558729764,1
ALKS,5435,33.89,184192.15,2275282.2,72052568.8345,0.0023887146833918007,0.23887146833918008,0.002556357850655918,0.1,0.023887146833918006,1
ALL,1179,198.99,234609.21000000002,1875337.65,375095593.46950006,0.0006286867860835621,0.06286867860835621,0.0006254651189846,0.1,0.0062868678608356205,1
ALLE,1232,165.39,203760.47999999998,878775.2,143848543.856,0.0014019512612554383,0.14019512612554383,0.0014164931707892365,0.1,0.014019512612554382,1
ALLY,9400,42.28,397432.0,4041682.25,175858869.96649998,0.002325764228496686,0.23257642284966862,0.00225994856031833,0.1,0.02325764228496686,1
ALNT,1487,61.01,90721.87,141493.3,8553615.4495,0.010509331537253001,1.0509331537253002,0.010606260070448119,0.1,0.10509331537253,1
ALNY,216,338.06,73020.96,1496976.8,556505136.3185,0.00014429081332456188,0.014429081332456187,0.00013121345201422995,0.1,0.0014429081332456187,1
ALV,1651,121.24,200167.24,745745.45,93637700.4285,0.0022138921531468948,0.22138921531468947,0.0021376778699605504,0.1,0.022138921531468948,1
ALX,255,244.9,62449.5,89891.7,21290720.953500003,0.0028367468854187876,0.2836746885418788,0.002933179206866354,0.1,0.028367468854187873,1
AMAL,4615,38.84,179246.6,231562.15,8235446.428499999,0.019929854684800605,1.9929854684800605,0.021765256025428108,0.1,0.19929854684800605,1
AMAT,134,322.32,43190.88,7860813.1,2451539630.41875,1.7046582623876403e-05,0.0017046582623876402,1.761785918697244e-05,0.1,0.00017046582623876403,1
AMG,316,313.09,98936.43999999999,384793.7,120267973.73300001,0.000821219266323747,0.0821219266323747,0.0008226332990330666,0.1,0.00821219266323747,1
AMGN,641,341.88,219145.08,2748571.65,924846433.3675,0.00023321203942418603,0.023321203942418604,0.00023695293844845243,0.1,0.00233212039424186,1
AMH,5641,31.32,176676.12,4809663.25,151325517.75699997,0.0011728471842597295,0.11728471842597295,0.001167523644516507,0.1,0.011728471842597295,1
AMP,1230,527.19,648443.7000000001,589544.35,298942902.8545,0.0020863570314938987,0.20863570314938987,0.0021691222431047554,0.1,0.020863570314938986,1
AMPH,10737,26.49,284423.13,323507.05,8726392.391250001,0.0331893848990308,3.3189384899030796,0.03259343807243788,0.1,0.33189384899030794,1
AMRC,6,31.34,188.04,524680.85,16614205.974000003,1.1435523137541612e-05,0.0011435523137541613,1.1318025086138249e-05,0.1,0.00011435523137541611,1
AMT,703,179.28,126033.84,3231853.4,572571298.7965,0.0002175222428096522,0.02175222428096522,0.00022011903192652732,0.1,0.002175222428096522,1
AN,507,204.98,103924.86,316878.5,67354720.5015,0.0015999823276113716,0.15999823276113717,0.0015429484262752687,0.1,0.015999823276113715,1
ANDE,618,61.99,38309.82,282142.6,16259022.878999999,0.002190381743132728,0.2190381743132728,0.002356219084326439,0.1,0.02190381743132728,1
ANF,36,97.63,3514.68,1915238.15,204261364.762,1.879661806026577e-05,0.001879661806026577,1.7206778208376376e-05,0.1,0.0001879661806026577,1
ANGO,6966,10.36,72167.76,903575.45,9716087.6825,0.007709372803344757,0.7709372803344757,0.007427656311704966,0.1,0.07709372803344756,1
ANIP,1463,81.85,119746.54999999999,567396.1,46302741.637,0.0025784456396510304,0.257844563965103,0.0025861654357052554,0.1,0.025784456396510304,1
AORT,20,40.77,815.4000000000001,302329.85,13023076.681,6.61529121256138e-05,0.00661529121256138,6.2611932646425e-05,0.1,0.0006615291212561379,1
AOSL,5233,22.1,115649.3,296903.95,6592239.956000001,0.017625228630336512,1.7625228630336511,0.017543247935740035,0.1,0.17625228630336512,1
APG,1041,41.57,43274.37,2339788.35,97414220.5905,0.0004449120365951048,0.04449120365951048,0.0004442305213518302,0.1,0.004449120365951048,1
APH,223,144.08,32129.840000000004,11418272.0,1696969516.6425,1.9530100526594567e-05,0.0019530100526594567,1.8933657726256485e-05,0.1,0.00019530100526594566,1
APLS,5453,22.58,123128.73999999999,4016420.55,91902936.47999999,0.001357676551077302,0.1357676551077302,0.0013397693775192415,0.1,0.013576765510773019,1
APOG,1227,37.13,45558.51,329379.65,11984119.5865,0.0037251846008094303,0.372518460080943,0.003801573379768443,0.1,0.0372518460080943,1
APPF,294,189.88,55824.72,379190.45,81294373.3485,0.000775335982222126,0.0775335982222126,0.0006866984478825564,0.1,0.00775335982222126,1
APPN,5030,27.9,140337.0,1021392.85,31337757.263000004,0.0049246477493943685,0.49246477493943686,0.004478208150705593,0.1,0.04924647749394368,1
APTV,24,64.1686,1540.0464,2486773.65,170716306.666695,9.651059315350233e-06,0.0009651059315350233,9.021085507705909e-06,0.1,9.651059315350233e-05,1
