as_of_date,ticker,retrieved_at,market_cap
2026-01-28,A,2026-07-27T14:02:54-04:00,37951992476.49817
2026-01-28,AA,2026-07-27T14:02:54-04:00,15540431125.65747
2026-01-28,AAL,2026-07-27T14:02:54-04:00,8874446238.12664
2026-01-28,AAMI,2026-07-27T14:02:54-04:00,1980040702.5567856
2026-01-28,AAOI,2026-07-27T14:02:54-04:00,3088299302.983948
2026-01-28,AAON,2026-07-27T14:02:54-04:00,7446658870.41095
2026-01-28,AAP,2026-07-27T14:02:54-04:00,2976503138.708668
2026-01-28,AAPL,2026-07-27T12:02:22-04:00,3789247963320.0
2026-01-28,AAT,2026-07-27T14:02:54-04:00,1373461501.3804722
2026-01-28,ABBV,2026-07-27T14:02:54-04:00,386473994243.2621
2026-01-28,ABCB,2026-07-27T14:02:54-04:00,5465000149.251045
2026-01-28,ABEO,2026-07-27T14:02:54-04:00,261744269.49552727
2026-01-28,ABG,2026-07-27T14:02:54-04:00,4795033233.710098
2026-01-28,ABM,2026-07-27T14:02:54-04:00,2742666257.901306
2026-01-28,ABNB,2026-07-27T14:02:54-04:00,80539604388.44499
2026-01-28,ABR,2026-07-27T14:02:54-04:00,1639985176.5435104
2026-01-28,ABT,2026-07-27T14:02:54-04:00,184575683746.1594
2026-01-28,ABUS,2026-07-27T14:02:54-04:00,796221404.7019734
2026-01-28,ACA,2026-07-27T14:02:54-04:00,5544540225.923538
2026-01-28,ACAD,2026-07-27T14:02:54-04:00,4334438293.523031
2026-01-28,ACGL,2026-07-27T14:02:54-04:00,35146154496.76323
2026-01-28,ACHC,2026-07-27T14:02:54-04:00,1215570829.8880775
2026-01-28,ACHR,2026-07-27T14:02:54-04:00,5674663836.262021
2026-01-28,ACI,2026-07-27T14:02:54-04:00,9167942969.06187
2026-01-28,ACIC,2026-07-27T14:02:54-04:00,527152935.0827351
2026-01-28,ACIW,2026-07-27T14:02:54-04:00,4488855132.0
2026-01-28,ACLS,2026-07-27T14:02:54-04:00,2828051007.652031
2026-01-28,ACM,2026-07-27T14:02:54-04:00,12852431352.543615
2026-01-28,ACMR,2026-07-27T14:02:54-04:00,3619457260.686165
2026-01-28,ACN,2026-07-27T14:02:54-04:00,167704156021.5271
2026-01-28,ACT,2026-07-27T14:02:54-04:00,5798445731.668129
2026-01-28,ACVA,2026-07-27T14:02:54-04:00,1459025554.7174368
2026-01-28,AD,2026-07-27T14:02:54-04:00,4024438482.610523
2026-01-28,ADAM,2026-07-27T14:02:54-04:00,762246568.8629141
2026-01-28,ADBE,2026-07-27T14:02:54-04:00,125404182379.1504
2026-01-28,ADC,2026-07-27T14:02:54-04:00,8194245410.807663
2026-01-28,ADEA,2026-07-27T14:02:54-04:00,2011702300.5746093
2026-01-28,ADI,2026-07-27T14:02:54-04:00,155528833538.62915
2026-01-28,ADM,2026-07-27T14:02:54-04:00,32390400872.29122
2026-01-28,ADMA,2026-07-27T14:02:54-04:00,3896839623.063921
2026-01-28,ADNT,2026-07-27T14:02:54-04:00,1708880832.30756
2026-01-28,ADP,2026-07-27T14:02:54-04:00,101551891755.02808
2026-01-28,ADSK,2026-07-27T14:02:54-04:00,57154287139.89258
2026-01-28,ADT,2026-07-27T14:02:54-04:00,6519640860.032033
2026-01-28,ADTN,2026-07-27T14:02:54-04:00,769113582.5618267
2026-01-28,ADUS,2026-07-27T14:02:54-04:00,1894165674.127113
2026-01-28,AEE,2026-07-27T14:02:54-04:00,28017863894.570984
2026-01-28,AEIS,2026-07-27T14:02:54-04:00,9955750547.248293
2026-01-28,AEO,2026-07-27T14:02:54-04:00,3920812556.519863
2026-01-28,AEP,2026-07-27T14:02:54-04:00,63760840099.51089
2026-01-28,AER,2026-07-27T14:02:54-04:00,25434105198.688354
2026-01-28,AES,2026-07-27T14:02:58-04:00,10817116840.54216
2026-01-28,AFG,2026-07-27T14:02:58-04:00,10713188568.872498
2026-01-28,AFL,2026-07-27T14:02:58-04:00,58253845020.41429
2026-01-28,AFRM,2026-07-27T14:02:58-04:00,21573613181.14096
2026-01-28,AGCO,2026-07-27T14:02:58-04:00,8413807066.5
