ticker,shares_difference
A,586
AA,3405
AAL,14932
AAMI,1322
AAOI,-808
AAON,-504
AAP,818
AAPL,-14
ABBV,225
ABCB,-2987
ABEO,-1771
ABG,-705
ABM,-16
ABNB,258
ABR,-54
ABT,-390
ABUS,-5634
ACA,-257
ACAD,54
ACGL,3881
ACHC,-621
ACHR,-2199
ACI,868
ACIC,-707
ACIW,276
ACLS,-16
ACLX,-358
ACM,102
ACMR,5
ACN,-40
ACT,-673
ACVA,-11177
AD,-423
ADAM,-10175
ADBE,788
ADC,191
ADEA,-621
ADI,-193
ADM,645
ADMA,1527
ADNT,9720
ADP,-595
ADSK,-4
ADT,-38933
ADTN,-5120
ADUS,48
AEE,365
AEIS,-188
AEO,-558
AEP,542
AER,765
AES,4394
AFG,2758
AFL,-704
AFRM,1787
AGCO,-1070
AGIO,206
AGM,148
AGNC,289
AGO,-821
AGX,127
AGYS,74
AHH,-219
AI,-996
AIG,5135
AIN,567
AIR,-138
AIT,-965
AIV,-9914
AIZ,1119
AJG,4
AKAM,1829
AKBA,40162
AKR,1974
ALB,610
ALDX,818
ALG,-199
ALGM,-786
ALGN,182
ALGT,-215
ALHC,-6419
ALK,407
ALKS,-1716
ALKT,4604
ALL,99
ALLE,-119
ALLY,-2110
ALNT,1482
ALNY,-89
ALRM,392
ALSN,-249
ALV,-1757
ALX,-546
AMAL,3134
AMAT,771
AMBA,-342
AMBP,5825
AMC,-3309
AMCR,-3063
AMD,304
AME,37
AMG,105
AMGN,-57
AMH,-5515
AMKR,8273
AMN,840
AMP,71
AMPH,-10749
AMPL,13597
AMR,77
AMRC,-7137
AMRX,12598
AMSF,42
AMT,141
AMZN,-199
AN,78
ANAB,2086
ANDE,-228
ANET,-688
ANF,-18
ANGI,-1035
ANGO,-9176
ANIP,-517
AON,-515
AORT,46
AOS,-1756
AOSL,-5515
APA,-1347
APAM,-22
APD,381
APEI,-76
APG,-11664
APH,-471
APLD,-955
APLE,117
APLS,23
APO,-589
APOG,577
APP,-69
APPF,-1002
APPN,1297
APTV,385
AR,5389
ARCB,98
ARDX,-11
ARE,3188
ARES,-1131
ARI,-25513
ARLO,-3986
ARMK,-350
AROC,-968
ARQT,5
ARR,-1583
ARVN,-4842
ARW,55
ARWR,417
ASAN,9687
ASB,-904
ASC,-322
ASGN,-2290
ASH,-263
ASIX,-4693
ASMB,-1927
ASO,-35
ASTE,-144
ASTH,-1118
ASTS,-583
ASUR,-203
ATEC,-326
ATEN,825
ATEX,143
ATGE,-221
ATI,949
ATKR,-180
ATO,-560
ATR,449
ATRC,733
ATRO,281
AUB,1560
AUR,78
AVA,1195
AVAV,97
AVB,646
AVGO,688
AVNS,-1192
AVNT,2957
AVPT,829
AVT,2854
AVTR,-15106
AVXL,-53334
AVY,-621
AWI,-336
AWK,-1695
AWR,-604
AX,-394
AXGN,13
AXL,3037
AXON,182
AXP,1370
AXS,361
AXSM,635
AXTI,-5099
AYI,89
AZO,-8
AZTA,-2805
AZZ,-23
BA,294
BAC,1258
BAH,-1693
BALL,-1973
BANC,-241
BAND,34
BANF,568
BANR,3216
BAP,-162
BATRK,-7303
BAX,814
BBBY,-251
BBIO,189
BBSI,736
BBT,60
BBW,-4
BBWI,-22
BBY,2215
BC,934
BCC,1759
BCO,97
BCPC,874
BCRX,619
BCSF,-10984
BDC,647
BDX,568
BE,752
BEAM,799
BELFB,-6
BEN,-371
BEPC,-2995
BF/B,17467
BFAM,-487
BFH,156
BFS,1948
BFST,-4748
BG,814
BGC,-2964
BGS,-5984
BH,216
BH/A,-65
BHB,31
BHE,-176
BHVN,2979
BIIB,192
BILL,-1938
BIO,-451
BJ,1200
BJRI,-482
BK,698
BKD,179
BKE,445
BKH,595
BKNG,-24
BKR,1851
BKU,3002
BL,-247
BLBD,-3
BLD,-24
BLDR,-73
BLFS,-32
BLK,-14
BLKB,-1829
BLMN,-6663
BLX,-614
BMI,150
BMRN,-2620
BMY,886
BNL,467
BOH,846
BOKF,-373
BOOT,-25
BOX,17
BPOP,174
BPRN,1693
BR,440
BRBR,18
BRC,1458
BRK/B,192
BRKR,119
BRO,-487
BROS,509
BRSL,-2618
BRSP,-21848
BRX,17806
BRZE,4129
BSX,296
BSY,1726
BTU,157
BURL,-291
BUSE,1571
BV,-4559
BW,1283
BWA,-925
BWIN,-13
BWXT,-185
BX,2911
BXC,-16
BXMT,-755
BXP,-904
BY,407
BYD,-638
BZH,1018
C,-196
CAAP,-596
CABO,-325
CAC,-175
CACC,161
CACI,18
CAG,1564
CAH,277
CAKE,-54
