ticker,shares_difference
AA,1490
AAMI,-53
AAOI,129
AAPL,296
AAT,116
ABBV,-1125
ABEO,7380
ABG,126
ABM,1105
ABR,-34669
ABT,695
ABUS,3927
ACA,-100
ACAD,-65
ACIC,139
ACIW,-1614
ACLX,11
ACM,-16
ACMR,-9
ACVA,-11625
AD,-4284
ADEA,66
ADI,-191
ADM,617
ADMA,1367
ADP,-1158
ADT,-699
ADTN,9713
AEE,4
AEIS,-218
AEO,680
AEP,-283
AER,45
AES,-14718
AFG,-983
AFL,665
AFRM,235
AGIO,-539
AGM,21
AGX,70
AHH,-690
AIG,-583
AIR,-61
AIT,-151
AIV,13626
AJG,105
ALB,282
ALDX,3411
ALG,-805
ALGT,119
ALHC,1187
ALK,210
ALKS,2483
ALL,-226
ALLE,889
ALLY,3250
ALNT,-276
ALNY,-1195
ALSN,-2587
ALV,-531
ALX,-36
AMAL,2761
AMAT,-729
AMG,9
AMGN,211
AMH,3385
AMP,1230
AMPH,-859
AMRC,-6
AMT,452
AN,65
ANDE,453
ANF,-357
ANGO,829
ANIP,-422
AON,-1107
AORT,-41
AOSL,5233
APG,-1351
APH,223
APLS,2096
APOG,-865
APPF,18
APPN,1560
APTV,24
AR,-1808
ARCB,-607
ARDX,2
ARLO,9907
ARMK,2421
AROC,3524
ARQT,-10
ARR,-510
ARVN,5461
ARWR,-898
ASAN,1264
ASB,1343
ASC,163
ASH,414
ASTE,-150
ASTH,2004
ASTS,-102
ATEC,4900
ATEN,-3660
ATEX,-2945
ATGE,-330
ATI,-353
ATKR,-665
ATO,250
ATR,300
ATRC,-2419
ATRO,196
AVB,-894
AVGO,-780
AVPT,1472
AVXL,-13303
AVY,1279
AWK,1679
AX,1437
AXGN,-4
AXON,128
AXP,-1016
AXS,-479
AXSM,-50
AXTI,-2193
AYI,36
AZO,8
AZTA,906
AZZ,-147
BA,126
BAC,-2594
BANC,-356
BAND,-1764
BAP,-177
BATRK,152
BBIO,715
BBSI,-413
BBWI,-14352
BC,-496
BCC,-1520
BCO,-117
BCRX,-1285
BE,-366
BEN,-15543
BEPC,-2795
BFAM,-270
BFH,-1194
BFS,1166
BGC,9220
BH,-16
BHB,-7279
BHE,-78
BHVN,19892
BILL,-1266
BIO,1025
BJ,-2133
BJRI,615
BK,1424
BKD,575
BKE,-2239
BKH,-845
BKNG,-87
BKU,-216
BL,299
BLBD,-1935
BLK,-119
BLKB,15
BLMN,-9848
BLX,-23
BMRN,125
BOH,1537
BOKF,-382
BPOP,-300
BRC,-14
BRK/B,366
BRKR,-55
BRSL,-3601
BRSP,37408
BRX,-2117
BRZE,-203
BTU,36
BV,808
BW,4416
BWA,-1755
BXC,-242
BXMT,986
BYD,580
C,440
CAAP,-1708
CABO,-1302
CAC,-762
CACC,44
CACI,-8
CAH,-326
CAL,-2234
CALX,-664
CALY,5253
CARG,-718
CARS,329
CASS,-9709
CATY,-4431
CB,-117
CBRE,310
CBT,1687
CBZ,-845
CCEP,-1520
CCI,-4782
CCL,864
CCOI,125
CCS,38
CDE,9216
CDNA,60
CDNS,-97
CDZI,-4992
CE,4066
CELC,430
CENTA,168
CENX,787
CEVA,-11976
CFFN,290
CFG,-951
CG,-2601
CGNX,297
CHCT,92
CHDN,-156
CHEF,-1465
CHKP,-2614
CHWY,3576
CIEN,364
CLBK,8599
CLF,-5529
CLFD,511
CMC,-770
CMI,-82
CMPR,-179
CMRE,17
CMS,364
CNC,-1707
CNM,398
CNMD,-239
CNO,-168
CNOB,-981
CNS,954
CNX,3348
CNXC,28
COCO,-2109
COHR,-2
COKE,-452
COO,3478
COP,491
COR,93
CORT,-2438
COUR,-4392
CPNG,-3925
CPRI,1419
CPS,-9
CPT,2061
CRAI,-4
CRBG,-4065
CRGY,305
CRH,2532
CRI,-1111
CRM,696
CROX,-214
CRS,109
CSCO,-6327
CSGP,750
CSIQ,-1074
CSL,133
CSR,-30
CTAS,-1017
CTO,-368
CTRA,-1783
CTSH,-666
CTVA,-3515
CUZ,145
CVBF,5766
CVCO,-2
CVI,-212
CVLG,2340
CVLT,83
CVNA,-15
CVS,-13
CVX,-165
CW,75
CWEN,3164
CWH,2672
CWK,177
CWST,1376
CWT,-1852
CXM,2232
CXW,-89
CYD,943
CYTK,648
D,-446
DAL,-2560
DAN,-282
DAR,-1367
DAVE,-1
DBX,-2222
DCO,922
DD,-4692
DE,89
DECK,847
DEI,-19880
DELL,-312
DG,155
DGICA,-6
DHT,376
DINO,3283
DIOD,210
DIS,959
DK,1463
DKNG,-3555
DKS,1000
DLB,4179
DLTR,-176
DLX,-45
DNLI,4166
DOCU,520
DORM,-229
DOW,4291
DRH,-310
DSGR,216
DT,-2823
DTE,16
DTM,-182
DVA,574
DVN,313
DXC,-2034
DXPE,-37
DY,592
EAF,5032
EAT,1184
EBAY,-125
EBC,1721
ECPG,-1556
EEFT,1256
EEX,4082
EFX,1242
EG,264
EGBN,644
EHC,-52
EIX,37
EL,-748
EMN,29
EMR,-895
ENPH,-3296
ENS,108
ENSG,400
ENTG,-987
ENVA,33
EOG,2155
EPAC,265
EPRT,-446
EQBK,3541
EQH,1084
EQR,2124
EQT,177
ES,712
ESE,-1433
ESI,-413
ESNT,-346
ESS,-322
ESTC,-388
ETR,516
ETSY,-301
EVR,45
EVTC,593
EW,742
EWBC,-321
EWTX,-1046
EXC,8347
EXE,-1086
EXEL,3624
EXLS,96
EXPD,-1245
EXPE,292
EXPO,1477
EXR,349
EZPW,1272
FAF,5563
FBP,9581
FBRX,-4
FCBC,2141
FDX,-256
FE,-1572
FET,-42
FFIV,572
FHI,-2289
FHN,-5501
FICO,-8
FIS,-4370
FISI,2220
FITB,9467
FIVE,639
FIVN,3218
FIX,-45
FLEX,1704
FLG,-6858
FLS,-89
FMBH,-342
FN,510
FNB,-1665
FNF,1086
FORM,1342
FOXA,-347
FOXF,-446
FR,908
FRME,-227
FRSH,-347
FRT,-1582
FSK,3031
FSLR,-475
FTAI,160
FTI,-634
FULT,2388
FWONK,1625
GAP,4098
GATX,1039
GBTG,29354
GBX,-4
GCMG,6748
GCO,-178
GD,671
GE,-455
GEF,-2615
GEN,6977
GFF,-1696
GGG,1824
GH,-8
GHC,65
GHM,-125
GIC,-724
GL,728
GLNG,-48
GLOB,-895
GLPI,-2705
GLW,-160
GM,390
GMED,536
GMRE,938
GNRC,-1275
GNW,-1281
GO,6598
GPC,-1148
GPI,-691
GPK,30294
GPRE,-603
GRBK,-168
GRMN,981
GS,-93
GSAT,883
GSBC,949
GSIT,1982
GSM,-14109
GTES,4197
GTM,-9604
GTN,-35389
GTY,-6626
GVA,9
GXO,-1240
HAE,-811
HAFC,75
HAS,-932
HAYW,-75
HBAN,-5546
HBNC,-2696
HCA,-48
HCC,-8
HCI,-2
HCSG,1073
HEI,539
HFWA,-500
HGV,-1002
HHH,132
HIFS,37
HII,-144
HIW,87
HL,1294
HLF,1030
HLIO,-433
HLIT,20379
HLMN,-11877
HLX,2686
HMN,228
HNRG,3177
HOG,3011
HOMB,3505
HOPE,4659
HOV,-86
HPE,-2012
HPP,4364
HPQ,-2569
HR,4851
HRB,3319
HRL,4428
HRMY,-1969
HRTG,1989
HSIC,114
HST,564
HTLD,-19967
HUBG,-1019
HUBS,229
HUM,990
HUN,-879
HURN,-9
HWM,69
HY,-692
HZO,-1615
IAC,-44
IART,-591
IBOC,-317
IBRX,1273
ICHR,575
IDT,-430
IDXX,-34
IESC,75
IFF,-3512
IIIN,-1787
IMAX,-1215
IMKTA,1238
IMVT,-17246
INSM,-1
INSW,144
INTC,-1440
INTU,95
INVA,-212
INVH,-811
IONS,277
IP,-3336
IPAR,296
IPI,478
IR,3726
IRM,-210
IRON,-588
IRT,794
IRTC,-380
IRWD,6858
ISRG,-497
IT,-657
ITIC,-89
ITRN,300
ITT,363
ITW,-384
IVT,-323
IVZ,4849
J,1145
JAZZ,-437
JBHT,281
JBLU,18871
JCI,-615
JKHY,-565
JNJ,568
JPM,95
KALU,-1
KBH,-515
KBR,465
KDP,698
KE,-1575
KEY,5940
KFY,234
KIDS,2413
KLAC,57
KLIC,-44
KMB,-1309
KMI,-773
KMT,-1003
KMX,1021
KN,58
KNF,1561
KO,-1376
KODK,-133
KR,659
KRG,-1156
KRNY,-631
KRO,7981
KRYS,-108
KSS,-48
KTB,-308
KWR,41
L,1372
LAD,566
LADR,-100
LAMR,-136
LAUR,9
LBRT,3250
LC,-771
LCII,-2344
LDOS,-595
LEA,52
LECO,-36
LEN,-3345
LFST,-3607
LGIH,-229
LGND,-51
LH,8
LIND,-4355
LITE,-158
LKQ,1782
LLY,-136
LMAT,189
LMND,-53
LNC,-4
LNN,-91
LNT,-465
LOVE,-1912
LQDA,694
LQDT,1736
LRCX,1128
LRN,-1460
LSCC,-1212
LTH,-777
LULU,680
LUV,-683
LVS,2202
LW,7107
LXP,-369
LXRX,-94546
LXU,-2783
LYB,2547
LYTS,1944
LYV,-1064
M,305
MA,-179
MAA,806
MAC,15518
MAGN,2908
MANU,8740
MAR,-105
MAS,376
MAT,2332
MATV,-5578
MCB,235
MCD,-1654
MCHP,1869
MCK,9
MCRI,-27
MCS,17
MCW,1454
MCY,190
MDGL,-280
MELI,36
MET,-1235
MFA,2321
MGEE,464
MGM,1533
MGNI,-102
MGPI,2481
MHO,661
MIDD,285
MIRM,981
MITK,-217
MKC,-2423
MKSI,-2
MLKN,-2388
MMI,-751
MMM,-91
MMS,-370
MMSI,-68
MNST,-1850
MO,1381
MOG/A,-614
MOH,69
MORN,68
MOS,-10888
MOV,-7506
MPC,22
MPW,-1343
MRCY,-545
MRK,53
MRNA,85
MRSH,-1328
MRVL,810
MS,970
MSBI,-280
MSEX,-3311
MSM,-194
MTG,467
MTH,-255
MTRN,7
MTUS,1572
MTZ,-606
MU,-65
MUSA,155
MWA,-1539
MXL,7545
MYE,5013
MYRG,-17
NAT,707
NBIS,-946
NBIX,804
NBN,-288
NBR,-1124
NCNO,6680
NDAQ,-1014
NE,-1690
NEM,719
NEU,-362
NEXA,-46
NGVC,-1830
NGVT,613
NHC,594
NJR,-148
NKE,443
NLY,-70
NMIH,5725
NMRK,-275
NNI,-152
NNN,1975
NOMD,207
NOVT,-1249
NOW,-646
NPK,804
NPKI,3487
NRG,546
NRIM,-2255
NSSC,2491
NTGR,7
NTLA,1745
NTRA,-28
NTRS,623
NU,1044
NUE,-77
NUS,6916
NVCR,-2580
NVDA,-26
NVR,24
NVRI,66
NVT,833
NWN,-15
NWPX,862
NWSA,374
NX,16
NXRT,-1857
NYT,2848
O,1397
OCFC,-85
ODC,433
OEC,-13992
OFIX,4308
OGE,439
OGS,-17
OHI,1098
OI,5196
OII,3207
OIS,-95
OKE,-1709
OLN,5161
OMC,635
OMCL,-1191
OMF,-3747
ONTO,-272
OPLN,-9
OPY,684
ORI,745
ORLY,-1142
ORN,510
OSBC,301
OSCR,-915
OSIS,-132
OSK,-719
OTIS,-3001
OUT,19
OXY,2617
PAG,115
PAGS,-4191
PAR,-405
PARR,-6
PATH,8126
PAX,1203
PAYC,892
PAYO,-15742
PB,-104
PCAR,773
PCG,-16984
PCOR,-2006
PCRX,2740
PCTY,456
PD,-52
PECO,4285
PEG,5669
PEGA,-453
PENN,1075
PFE,-826
PFGC,-1726
PFS,73
PFSI,-107
PG,1230
PGC,328
PGNY,-244
PGR,506
PHR,-5767
PI,457
PII,-675
PINS,2603
PKE,-1103
PLAB,-44
PLAY,-9303
PLD,-467
PLNT,-455
PLOW,1045
PLUS,-9
PLXS,806
PM,-213
PMT,-123
PNC,-146
PNFP,-48
PODD,581
POR,-629
POST,-157
PPC,-2926
PPL,-1858
PR,9412
PRCT,4115
PRDO,5800
PRG,-186
PRGS,-719
PRIM,432
PRKS,2878
PRU,1145
PRVA,-1073
PSA,170
PTC,-428
PTCT,222
PTGX,982
PUMP,8251
QCOM,-1618
QLYS,-360
QNST,-2089
QTWO,-1400
QURE,-2
R,163
RAMP,201
RARE,-1982
RBC,-207
RBCAA,-1993
RCUS,-16
RDN,-468
RDWR,732
REG,-6723
REGN,-210
RELY,17652
REX,15
REZI,-727
RF,-1999
RGA,-983
RGNX,4398
RGR,4179
RIG,-10684
RIGL,-28
RILY,4229
RITM,18301
RL,549
RNR,-49
ROAD,1165
ROG,384
ROIV,12039
ROKU,-114
ROL,-838
ROOT,129
ROP,-23
RPD,-892
RPRX,712
RRC,-357
RRR,-955
RTX,550
RUN,2586
RUSHB,-414
RVLV,1779
RWT,21712
RYAM,1367
RYI,2658
RYN,-391
RYTM,-454
S,7602
SAFE,2053
SAFT,-1457
SAH,161
SAIC,-46
SAM,543
SANM,-1326
SB,41
SBCF,-1641
SBGI,7334
SBLK,763
SBRA,676
SCHL,231
SCHW,869
SCI,804
SCL,336
SD,-2361
SEB,3
SEDG,198
SEIC,2824
SENEA,264
SF,-1190
SFBS,1324
SFIX,-5896
SFL,2570
SFNC,-7493
SGHC,1372
SGRY,-11575
SHBI,-487
SHEN,3169
SHOO,434
SIBN,2378
SITC,-142
SITE,1
SJM,-87
SKWD,-3715
SKYW,1483
SLDB,7719
SLG,3421
SLM,-2154
SLP,-1794
SLVM,1773
SMPL,-1812
SNAP,-12529
SNDX,-3780
SNPS,-69
SNX,594
SO,-50
SOC,1280
SPB,-114
SPNT,403
SPOT,49
SPXC,276
SR,251
SRCE,-4108
SRE,-2299
SRPT,-2959
ST,2551
STC,-90
STEP,-1074
STNE,5886
STRL,-169
STT,1769
STX,-123
SUI,-1034
SVRA,9171
SWBI,929
SWK,735
SXT,130
SYBT,3252
SYF,557
SYRE,3726
SYY,700
T,8439
TALO,339
TAP,12
TBBK,1697
TBPH,-98
TCBI,-182
TCBK,-871
TDS,602
TEAM,868
TECX,4206
TEL,81
TEN,-19
TER,1106
TEX,213
TFX,78
TGLS,-426
TGT,-204
TGTX,-1774
THC,-229
THG,123
THO,431
THRM,-976
TK,1969
TLRY,-2237
TMHC,-103
TMUS,1
TNC,-617
TNDM,575
TNET,-3257
TNL,164
TOL,781
TOST,-199
TOWN,-59
TPC,132
TPH,-1385
TPR,1227
TR,441
TRGP,263
TRMB,-850
TRN,368
TROX,-7203
TRS,702
TRST,-755
TRU,332
TRUP,-1371
TRV,829
TSN,-516
TTC,1278
TTD,-11
TTI,-34
TTMI,-394
TTWO,-145
TVTX,269
TW,236
TWLO,1751
TXN,-778
TXT,-838
TYL,122
U,670
UAL,217
UCB,7620
UE,-544
UFCS,13
UFPI,-808
UFPT,92
UGI,-1423
UHAL,-3108
UHS,323
UHT,-1530
UMH,10064
UNFI,788
UNH,-269
UNIT,29053
UNM,-1549
UPBD,-803
UPS,147
URBN,387
USB,302
USFD,1292
USLM,-779
USNA,-5785
UTHR,229
UVE,16
UVSP,-174
UVV,4
UWMC,45985
V,-1710
VAC,457
VAL,5885
VCEL,79
VCYT,72
VERX,16862
VFC,-793
VHC,1759
VIAV,-167
VICI,-1062
VIRT,5005
VLO,-166
VMC,-1165
VOYA,380
VRDN,-24
VRE,5745
VREX,2162
VRSN,723
VRT,518
VRTS,-60
VSAT,-25
VSCO,-15
VSH,-71
VTOL,-226
VTR,-684
VTRS,-1685
VVX,-20
VZ,-6136
WABC,-1521
WASH,379
WBS,-1755
WCC,-995
WD,-849
WDAY,1186
WDC,606
WELL,252
WEN,8196
WERN,4115
WFRD,474
WGO,-507
WH,-660
WHR,-1896
WIX,-3133
WK,56
WLK,1919
WLY,4625
WM,-1107
WMB,3253
WMG,341
WMK,-12
WMT,657
WNC,-1496
WRLD,229
WSBC,-1212
WSC,6162
WSO,856
WST,-883
WT,-14372
WTFC,2
WTM,-14
WTS,-833
WU,21059
WVE,-303
WWD,826
WY,-50
WYNN,524
XENE,-47
XERS,-66
XHR,-90
XMTR,-671
XNCR,-757
XP,-16066
XPO,-132
XPRO,-1815
XYL,1181
XYZ,-2150
YOU,-574
YUMC,-3417
Z,-602
ZBH,1667
ZETA,-2806
ZION,19
ZS,-83
ZTS,44
ZWS,-9380
ZYME,-13
