ticker,shares_difference
A,-130
AAL,1135
AAON,56
AAP,369
AAPL,-242
AAT,420
ABCB,-532
ABNB,523
ACGL,914
ACHC,-472
ACHR,274
ACI,-687
ACLS,3
ACMR,3115
ACN,299
ACT,-1753
AD,1251
ADAM,-3416
ADBE,-222
ADC,819
ADNT,2
ADSK,-446
ADT,12949
ADUS,-505
AES,3778
AFRM,-701
AGCO,-665
AGNC,-6137
AGO,-1105
AGYS,-43
AHH,3106
AI,92
AIN,572
AIZ,322
AKAM,-401
AKBA,-1271
AKR,513
ALDX,4400
ALGM,-7412
ALGN,480
ALKT,75
ALL,286
ALLO,1966
ALRM,270
AMBA,1678
AMBP,-15582
AMC,2228
AMCR,-683
AMD,-228
AME,-801
AMKR,994
AMN,-1701
AMP,-77
AMPL,-14279
AMR,-96
AMRC,8229
AMRX,-1929
AMSF,-173
AMT,1316
AMZN,18
ANAB,-540
ANET,-282
ANGI,980
AOS,-4239
AOSL,244
APA,499
APAM,-6
APD,315
APEI,-2301
APH,895
APLD,-1117
APLE,1815
APO,328
APP,85
APPF,610
APTV,1337
AR,4927
ARE,95
ARES,572
ARI,96
ARW,-486
ASGN,-600
ASIX,-1335
ASMB,737
ASO,-88
ASTH,-2300
ASTS,717
ASUR,-791
ATEN,1239
ATR,1112
ATRO,-282
AUB,591
AUR,5849
AVA,-332
AVAV,49
AVNS,-238
AVNT,5
AVT,1146
AVTR,-3992
AWI,329
AWK,-1399
AWR,717
AX,498
AXL,269
BAH,-452
BALL,-573
BANF,-370
BANR,2692
BATRK,1473
BAX,-1338
BBBY,415
BBT,-1753
BBW,13
BBY,-1679
BCPC,-745
BCSF,-14445
BDC,85
BDX,-52
BE,569
BEAM,-1247
BELFB,126
BEN,3230
BF/B,-479
BFS,-93
BFST,-6374
BG,-282
BGC,4964
BGS,-547
BH/A,6
BHVN,25
BIIB,1259
BIO,128
BKR,-369
BLD,9
BLDR,-534
BLFS,157
BMI,-45
BMY,-927
BNL,-13868
BOKF,26
BOOT,-8
BOX,-147
BPOP,660
BPRN,-1214
BR,-2382
BRBR,21
BRC,1481
BRK/B,632
BRO,-307
BROS,1340
BRSP,-7070
BRZE,4036
BSX,-166
BSY,-1094
BURL,12
BUSE,-2656
BWIN,39
BWXT,78
BX,-463
BXP,-4154
BY,-473
BZH,-726
CACC,5
CAG,-3776
CAKE,-403
CALM,1411
CAMT,-796
CAR,-134
CARR,1378
CASH,890
CASY,-128
CAT,-243
CBOE,-326
CBRL,1519
CBSH,155
CBU,140
CC,-834
CCBG,-1778
CCC,13893
CCK,1866
CCNE,-6718
CCRN,-73
CCS,-4893
CDP,733
CDRE,101
CDW,-585
CE,-27
CECO,-781
CEG,-429
CELC,-115
CELH,560
CERT,-5024
CF,-417
CFFN,207
CFR,-549
CHCO,-117
CHD,1926
CHE,-50
CHH,-147
CHRD,-526
CHRW,-626
CHTR,-1093
CI,-502
CIM,-2166
CINF,224
CL,1473
CLB,5877
CLH,-39
CLSK,405
CLX,-1061
CMCO,-210
CMCSA,-1284
CME,48
CMG,247
CMP,-3141
CMRE,-6592
CNA,-38
CNH,-12304
CNK,1913
CNM,3664
CNNE,-4115
CNP,-4262
CNR,890
CNXN,482
COCO,1787
COF,426
COHU,401
COIN,574
COLB,-615
COLD,1463
COLL,94
COLM,2477
COO,-589
COR,-95
COST,28
CPAY,299
CPB,810
CPF,-2001
CPK,-193
CPRI,-1174
CPRT,-724
CPRX,303
CR,-470
CRC,-327
CRDO,-2005
CRI,1878
CRK,-4228
CRL,35
CRNX,-2818
CRSP,176
CRUS,1212
CRVL,16
CRWD,190
CSGP,-751
CSL,16
CSTM,3564
CSV,-383
CSW,617
CSX,392
CTBI,331
CTMX,-10909
CTRE,-517
CTS,327
CTSH,526
CUBE,1018
CUBI,-826
CUZ,2441
CVLG,3759
CVNA,331
CWK,10115
CXT,17
CYD,-495
CYRX,-6525
CYTK,661
CZR,283
DAKT,-65
DAL,866
DASH,457
DBI,-9322
DCI,-1979
DCOM,11
DDOG,-458
DDS,171
DE,-141
DEA,1011
DECK,-674
DFH,-2521
DFIN,91
DGICA,12480
DGII,2310
DGX,779
DHC,-1368
DHI,213
DHR,825
DIN,-394
DIS,1154
DKS,-232
DLB,-2463
DLR,64
DLTR,1148
DNLI,-5789
DNOW,-635
DOC,5599
DOCN,83
DOCS,-1560
DOMO,65
DOV,1497
DOX,-40
DPZ,141
DRI,-502
DRS,1108
DRVN,-9393
DTE,-665
DTM,909
DUK,-3582
DUOL,-28
DV,-231
DVA,-1348
DX,-29150
DXCM,-47
EAF,-631
EAT,569
EBC,-261
EBF,-252
EBS,-5608
ECL,-109
ECVT,-276
ED,-1619
EE,2492
EEX,166
EFSC,451
EGP,13
EGY,-5051
EIG,17
EIX,-1388
ELAN,-1904
ELF,-2263
ELS,-235
ELV,-395
EME,98
ENOV,-618
ENR,196
ENTA,-1923
ENVX,-101
EOG,243
EOLS,123
EPAM,316
EPC,3567
EPR,399
EQBK,316
EQIX,-167
ERIE,-209
ERII,95
ESAB,-1179
ESI,64
ESQ,17
ESRT,-860
ETD,11
ETN,128
ETR,894
EVCM,376
EVEX,16470
EVRG,-24
EXP,455
EXPI,26
EXPO,446
EXR,-631
EXTR,1724
EYE,-722
EYPT,1725
F,-1303
FA,-6869
FAF,2324
FANG,100
FAST,-1682
FBIN,2810
FBK,-51
FBNC,-2301
FCBC,165
FCF,5541
FCFS,-866
FCN,902
FCNCA,68
FCPT,897
FCX,-1962
FDP,941
FDS,380
FDX,628
FELE,305
FERG,-9
FFBC,-1469
FFIN,457
FG,-2225
FHB,907
FIBK,-40
FISV,-5114
FITB,679
FIZZ,-290
FLO,906
FLR,-102
FLYW,341
FMBH,8768
FMC,8115
FN,-78
FND,230
FOR,1315
FORM,285
FOUR,134
FOXF,167
FPI,187
FRPT,284
FSS,-129
FTAI,611
FTDR,-3445
FTI,1745
FTK,-233
FTNT,-717
FTV,-4307
FUL,-2361
FUN,1029
FWRD,29
G,642
GABC,786
GBCI,-922
GDDY,1125
GEHC,4
GEN,1639
GEO,-2895
GFS,-802
GGG,2768
GIII,779
GILD,-502
GIS,-537
GKOS,1014
GLDD,-6731
GLOB,14
GME,-3210
GNL,3074
GNTX,1634
GO,2256
GOGO,30213
GOLF,624
GOOD,-84
GOOG,-82
GPK,102
GPN,-412
GPOR,-303
GPRO,1347
GRC,-1121
GRND,-116
GRPN,-50
GSAT,623
GSHD,-327
GT,-7514
GTLB,-264
GTX,-975
GVA,-1299
GWRE,-404
GWW,-21
H,676
HAFC,178
HAIN,-1510
HAL,3711
HALO,-1638
HASI,2904
HCKT,-49
HD,-209
HE,3667
HEI,288
HELE,-782
HFWA,14512
HIG,-1872
HIMS,-28
HLI,-1052
HLIT,-208
HLNE,-10
HLT,-40
HNI,243
HON,-973
HOOD,-1479
HOPE,-2239
HP,-4703
HQY,408
HRI,211
HST,10028
HSTM,76
HSY,-431
HTB,-698
HTH,654
HTO,-1562
HTZ,-8872
HUBB,181
HUM,866
HURN,1236
HWC,-274
HWKN,57
HWM,1243
HXL,-541
IAC,6759
IBCP,-966
IBKR,-855
IBM,-1306
IBP,-20
ICE,-175
