ticker,weight,beta,beta_contribution,component_contribution,percentage_contribution
ALGN,-0.0018289691616466882,1.2480598110242174,-0.002282662906253887,0.00019392899617506066,0.01738837623784339
IQV,-0.002300528938645358,1.0440426925241288,-0.002401850427332976,0.00019319186764267223,0.017322282623636012
LITE,0.0014088982678012246,2.3053615594929577,0.003248019907825158,0.00018367215405361306,0.016468710621367486
CAH,0.002481951059104794,0.3399846381280099,0.0008438252326811742,0.00018349329638180735,0.016452673594663264
ALNY,0.0018136921189375336,0.8871448259552073,0.0016090075791911694,0.00017711152408478632,0.015880460774747075
HRI,-0.0013609536063967683,1.6296840781638164,-0.002217924423464439,0.00016473817964960253,0.014771021894523189
CRL,-0.0010731377820336779,1.3912155297403892,-0.0014929659479164094,0.00015892328852515334,0.014249637693870982
W,-0.001280367724343302,2.488489996672642,-0.003186182274090822,0.0001538406333412577,0.013793908419920519
MPWR,-0.002424380128933373,2.189689848857262,-0.005308640558096666,0.00015125214843855878,0.013561815487652278
RKT,-0.0010789668212766949,0.728124605369016,-0.0007856222909483551,0.00014874724015724011,0.013337216337984428
PM,0.0020627162088085607,0.09742848299980914,0.0002009673110833356,0.00014001273680050165,0.012554049129298559
FOR,-0.0012562290696724707,0.804588329346131,-0.0010107472484438176,0.00012144379520715183,0.01088909056646334
SPOT,0.0015071535440414783,0.9638940136208006,0.0014527362787089546,0.00012139930169000652,0.010885101116553698
RVTY,-0.00136887215694469,1.1480850617395901,-0.0015715816748194504,0.00012022646160907773,0.010779940026689638
UHS,0.001746817702413763,0.6641058764422335,0.0011600719012463006,0.00011917651438276984,0.010685797955307795
NFE,-0.0005835791498736553,2.198612506381924,-0.00128306441737595,0.00011326022885086795,0.010155322364817171
EQT,0.0014194843443407765,0.7511637969839483,0.0010662652498542881,0.00011079087881139596,0.009933911495910738
FLS,0.001968075374528043,1.499015066536608,0.0029501746384972137,0.00010901803651225602,0.009774952033861127
ICLR,-0.0009263358506287799,0.9820021242980009,-0.0009096637731308575,0.00010872114853104847,0.009748331982091919
DD,0.0037526418996707608,1.3442861801930601,0.005044624644940836,0.00010586598158791683,0.009492327372114926
AER,0.0014892568374076012,0.8047976032601031,0.0011985503333843584,0.000102973029017883,0.009232934765964505
TW,0.0018662416170390952,0.4300952411188303,0.0008026616382664254,9.916450480036885e-05,0.008891448689559028
L,0.002308498849156014,0.5264898396066784,0.0012154011888243516,9.825393666399349e-05,0.008809803852233134
JOBY,-0.0008486742850912898,1.8705699144805221,-0.0015875045848850321,9.824752712728713e-05,0.00880922914995571
