ticker,weight,beta,beta_contribution,component_contribution,percentage_contribution
MPWR,-0.004036763311217048,2.244473945251324,-0.009060410075173126,0.0016455040091247993,0.008218421408104153
HOOD,-0.0036654349571489967,2.6399510159526436,-0.009676568739033829,0.001582957635713761,0.007906035384496739
TPG,-0.004462241131097719,1.6308623747317867,-0.00727730116768788,0.001435097056538638,0.007167550067798037
BX,-0.0040913814768925305,1.5700521208133926,-0.006423682164851748,0.0012733966124128617,0.006359941952391471
KKR,-0.0034356025581617103,1.8340572536188484,-0.006301091792347956,0.0012323398766780974,0.006154885292524123
PLTR,-0.0036976174426237326,2.0844340038704208,-0.0077074395307092924,0.0011810557972116186,0.005898748464995884
ZBRA,-0.0030965745833454804,1.7591312054468118,-0.005447280979556494,0.0010944954148167944,0.0054664251793506095
WSM,-0.0035131198213905813,1.4571177940421243,-0.005119029404350306,0.0010847663120140062,0.005417833461364697
IQV,-0.004479611102143579,1.0934530614039824,-0.004898244473538164,0.0010719441470571054,0.005353793535362886
AMKR,-0.0026911721034184517,2.1022834756355064,-0.005657606643107859,0.00106371180266902,0.00531267733328574
SMR,-0.0027414955167349114,2.401024044283427,-0.006582396652975741,0.0010623037018828044,0.005305644615296583
ALGN,-0.0034510838294509257,1.323927691498444,-0.004568985447492574,0.0010393680762608081,0.005191093307262803
HRI,-0.002652820416148601,1.755838656446333,-0.004657924635283762,0.0010312528876845078,0.005150562236444116
OVV,-0.0035636139980225216,1.4713520528994561,-0.005243330771731676,0.0010132554739037739,0.005060674682305149
NXPI,-0.0027835417317600727,1.8708686986504013,-0.0052076410973370514,0.001001238278113566,0.005000655151146333
SGI,-0.004572758491184862,1.0317356625134007,-0.004717878011416392,0.0009803792321207022,0.004896475259034396
HLT,-0.005060009569665566,0.9595404665836293,-0.004855283943394527,0.0009703040446931244,0.004846155031562263
FERG,-0.004563468581602808,1.001373856114679,-0.004569738130817788,0.0009675259145158067,0.0048322797420478295
HAL,-0.0035839566287372846,1.2867795131612012,-0.004611761965917423,0.0009487626551659075,0.00473856719472378
DOV,-0.004107752183338682,1.1290324106004577,-0.004637785349704165,0.0009464267602961789,0.0047269006364547
WWW,-0.002209675288768939,1.8088176213376024,-0.003996899599759512,0.0008934339657767384,0.004462229681817844
CRL,-0.0028389431913539926,1.4213161426213707,-0.004035035785856461,0.0008930778165470301,0.004460450904958181
CAMT,-0.002572662168230633,1.9546185447975817,-0.0050285731835227505,0.0008858388676378008,0.0044242961874018105
ADSK,-0.005000198074362878,0.9373575538436687,-0.00468697343571861,0.0008647088777389959,0.004318763073915368
RVTY,-0.0030779147363656405,1.1929769531417165,-0.003671881344219471,0.0008214166934460526,0.0041025415319296075
MTSI,-0.002683111743740625,1.7701516211265038,-0.004749514602846027,0.0008199219956272765,0.00409507630760663
STLD,-0.0033620498604748643,1.2491498667974434,-0.00419970413537854,0.0008173776215757288,0.004082368506191678
ABNB,-0.0032894043343866045,1.3021282673790908,-0.004283226366644101,0.0007988915161665633,0.003990040196078376
JBL,-0.0031400801755447527,1.4690395738061306,-0.004612902042799343,0.0007936508386285917,0.00396386578615157
BXP,-0.0037321812050414536,0.9410147673219295,-0.003512037628265362,0.0007932382573319576,0.003961805160992325
CAT,-0.0035208878815698947,1.1952562709789487,-0.004208363319860203,0.0007874042699245265,0.003932667482361361
PWR,-0.00397473446977838,1.195717936212828,-0.004752661297197394,0.0007786492978623257,0.0038889410317271777
YETI,-0.0023448004448893053,1.4571459580375616,-0.0034167164906751275,0.0007703045047085718,0.0038472632075950515
CDNS,-0.0033104413163625086,1.3216130842898572,-0.00437512255847843,0.0007668406125703938,0.0038299629001233566
RS,-0.004546395089859246,0.7485183090023333,-0.003403059964717954,0.0007600942041950034,0.0037962681617862487
MUR,-0.0022593528719249177,1.6102947910723047,-0.0036382241608549468,0.0007496165834560397,0.003743937992968918
IBKR,-0.0025531948507006423,1.7045698299644503,-0.004352098912524904,0.000745172664595991,0.0037217429708402716
VISN,-0.0015487424875323995,2.678861106254788,-0.004148866013454836,0.0007417807910657258,0.0037048023581889903
ZM,-0.004354044890082298,0.9074545753034508,-0.003951097956581792,0.0007369872638948281,0.003680861227627669
IEX,-0.0036023678186284445,0.9272113803438474,-0.0033401564376167345,0.0007338210631691934,0.0036650477311660277
KEYS,-0.0028114527197070117,1.3849514736148556,-0.0038937255871567193,0.0007324573746901034,0.0036582368291394212
TFC,-0.0031188975537692746,1.12857878996569,-0.0035199216272598787,0.0007229380315436868,0.0036106927495918968
ESAB,-0.0028196790284535415,1.1248434173322885,-0.003171697394145869,0.0007191574594637441,0.0035918107934590714
SPG,-0.003901502503096758,0.8934300584226292,-0.003485719609277771,0.0007191458465147729,0.0035917527929267687
EME,-0.00314165630197477,1.3673156984951436,-0.004295635980966302,0.00071442424807927,0.0035681709083202114
CLH,-0.004113275652776638,0.8037987189911519,-0.0033062457005593555,0.0006994425112013965,0.0034933450638343104
NVST,-0.0023949300438127685,1.333128727112201,-0.0031927500408308837,0.0006989829287530431,0.0034910496928042844
POOL,-0.0036942034544523005,0.7495792396640601,-0.0027690982165527,0.0006987972573007752,0.0034901223621932797
TMP,-0.0031690919382250144,0.9485382444775908,-0.003006004903672041,0.000697771127277187,0.003484997385950991
