ticker,sector,price_to_book,retrieved_at
A,Healthcare,5.4663973,2026-07-27T14:14:36-04:00
AA,Basic Materials,1.587654,2026-07-27T14:14:36-04:00
AAL,Industrials,-2.4312615,2026-07-27T14:14:36-04:00
AAMI,Financial Services,37.671265,2026-07-27T14:14:36-04:00
AAOI,Technology,6.83256,2026-07-27T14:14:36-04:00
AAON,Industrials,8.80969,2026-07-27T14:14:37-04:00
AAP,Consumer Cyclical,1.5687444,2026-07-27T14:14:37-04:00
AAPL,Technology,46.251377,2026-07-27T14:14:37-04:00
AAT,Real Estate,1.3211623,2026-07-27T14:14:37-04:00
ABBV,Healthcare,-68.632866,2026-07-27T14:14:37-04:00
ABCB,Financial Services,1.4181817,2026-07-27T14:14:37-04:00
ABEO,Healthcare,2.4068263,2026-07-27T14:14:38-04:00
ABG,Consumer Cyclical,1.0771052,2026-07-27T14:14:38-04:00
ABM,Industrials,1.6219928,2026-07-27T14:14:38-04:00
ABNB,Consumer Cyclical,11.36045,2026-07-27T14:14:38-04:00
ABR,Real Estate,0.431871,2026-07-27T14:14:38-04:00
ABT,Healthcare,3.529392,2026-07-27T14:14:39-04:00
ABUS,Healthcare,3.357305,2026-07-27T14:14:39-04:00
ACA,Industrials,2.7028008,2026-07-27T14:14:39-04:00
ACAD,Healthcare,3.5188484,2026-07-27T14:14:39-04:00
ACGL,Financial Services,1.5661209,2026-07-27T14:14:39-04:00
ACHC,Healthcare,1.5030589,2026-07-27T14:14:39-04:00
ACHR,Industrials,1.7820337,2026-07-27T14:14:40-04:00
ACI,Consumer Defensive,3.5201106,2026-07-27T14:14:40-04:00
ACIC,Financial Services,1.4939551,2026-07-27T14:14:40-04:00
ACIW,Technology,3.9317079,2026-07-27T14:14:40-04:00
ACLS,Technology,3.7006853,2026-07-27T14:14:40-04:00
ACM,Industrials,4.0240526,2026-07-27T14:14:41-04:00
ACMR,Technology,3.282395,2026-07-27T14:14:41-04:00
ACN,Technology,3.0028203,2026-07-27T14:14:41-04:00
ACT,Financial Services,1.2337219,2026-07-27T14:14:41-04:00
ACVA,Consumer Cyclical,3.2767677,2026-07-27T14:14:41-04:00
AD,Communication Services,1.6238838,2026-07-27T14:14:41-04:00
ADAM,Real Estate,0.85794175,2026-07-27T14:14:42-04:00
ADBE,Technology,8.364222,2026-07-27T14:14:42-04:00
ADC,Real Estate,1.6016374,2026-07-27T14:14:42-04:00
ADEA,Technology,6.0302463,2026-07-27T14:14:42-04:00
ADI,Technology,5.3120265,2026-07-27T14:14:42-04:00
ADM,Consumer Defensive,1.7543489,2026-07-27T14:14:42-04:00
ADMA,Healthcare,5.0833335,2026-07-27T14:14:43-04:00
ADNT,Consumer Cyclical,0.9352971,2026-07-27T14:14:43-04:00
ADP,Technology,16.255442,2026-07-27T14:14:43-04:00
ADSK,Technology,14.976181,2026-07-27T14:14:43-04:00
ADT,Industrials,1.5030416,2026-07-27T14:14:43-04:00
ADTN,Technology,5.5594606,2026-07-27T14:14:43-04:00
ADUS,Healthcare,1.8993872,2026-07-27T14:14:43-04:00
AEE,Utilities,2.2887409,2026-07-27T14:14:44-04:00
AEIS,Industrials,7.808657,2026-07-27T14:14:44-04:00
AEO,Consumer Cyclical,1.7880424,2026-07-27T14:14:44-04:00
AEP,Utilities,2.2863545,2026-07-27T14:14:52-04:00
AER,Industrials,1.3003865,2026-07-27T14:14:52-04:00
AES,Utilities,2.3943207,2026-07-27T14:14:52-04:00
AFG,Financial Services,2.5551035,2026-07-27T14:14:52-04:00
AFL,Financial Services,2.1529837,2026-07-27T14:14:52-04:00
AFRM,Financial Services,6.450128,2026-07-27T14:14:52-04:00
AGCO,Industrials,1.9990394,2026-07-27T14:14:53-04:00
